title,character,character_alias,actor
Cloak & Dagger,Dagger,,Olivia Holt
Cloak & Dagger,Cloak,,Aubrey Joseph
Cloak & Dagger,Adina Johnson,,Gloria Reuben
Cloak & Dagger,Detective Brigid O'Reilly,,Emma Lahana
Cloak & Dagger,Melissa Bowen,,Andrea Roth
Cloak & Dagger,Detective Connors,,JD Evermore
Cloak & Dagger,Evita Fusilier,,Noëlle Renée Bercy
Cloak & Dagger,Otis Johnson,,Miles Mussenden
Cloak & Dagger,Auntie Chantelle,,Angela Davis
Cloak & Dagger,Nathan Bowen,,Andy Dylan
Cloak & Dagger,Lia,,Dilshad Vadsaria
Cloak & Dagger,Mina Hess,,Ally Maki
Cloak & Dagger,Andre Deschaine,,Brooklyn McLinn
Cloak & Dagger,Officer Fuchs,,Lane Miller
Cloak & Dagger,Liam Walsh,,Carl Lundstedt
Cloak & Dagger,Solomon,,Joshua J. Williams
Cloak & Dagger,Peter Scarborough,,Wayne Pére
Cloak & Dagger,Mikayla Bell,,Cecilia Leal
Cloak & Dagger,Duane Porter,,Dalon J. Holland
Cloak & Dagger,Ivan Hess,,Tim Kang
Cloak & Dagger,Choo Choo Broussard,,Gralen Bryant Banks
Agents of S.H.I.E.L.D.: Slingshot,Elena 'Yo-Yo' Rodriguez,,Natalia Cordova-Buckley
Agents of S.H.I.E.L.D.: Slingshot,Colonel Victor Ramon,,Yancey Arias
Agents of S.H.I.E.L.D.: Slingshot,Daisy Johnson,,Chloe Bennet
Agents of S.H.I.E.L.D.: Slingshot,Melinda May,,Ming-Na Wen
Agents of S.H.I.E.L.D.: Slingshot,Alpha Dog,,Dale Pavinski
Agents of S.H.I.E.L.D.: Slingshot,Agent Coulson,,Clark Gregg
Agents of S.H.I.E.L.D.: Slingshot,Jeffrey Mace,,Jason O'Mara
Agents of S.H.I.E.L.D.: Slingshot,Leo Fitz,,Iain De Caestecker
Agents of S.H.I.E.L.D.: Slingshot,Jemma Simmons,,Elizabeth Henstridge
Agents of S.H.I.E.L.D.: Slingshot,Alphonso 'Mack' Mackenzie,,Henry Simmons
Agents of S.H.I.E.L.D.: Slingshot,Agent Anderson,,Alexander Wraith
Thor: Ragnarok,Thor,God of Thunder,Chris Hemsworth
Thor: Ragnarok,Loki,God of Mischief,Tom Hiddleston
Thor: Ragnarok,Hela,Goddess of death,Cate Blanchett
Thor: Ragnarok,Heimdall,,Idris Elba
Thor: Ragnarok,Grandmaster,,Jeff Goldblum
Thor: Ragnarok,Valkyrie,,Tessa Thompson
Thor: Ragnarok,Skurge,,Karl Urban
Thor: Ragnarok,Bruce Banner,Hulk,Mark Ruffalo
Thor: Ragnarok,Odin,,Anthony Hopkins
Thor: Ragnarok,Dr. Stephen Strange,Doctor Strange,Benedict Cumberbatch
Thor: Ragnarok,Korg,,Taika Waititi
Thor: Ragnarok,Topaz,,Rachel House
Thor: Ragnarok,Surtur,,Clancy Brown
Thor: Ragnarok,Hogun,Hogun the grim,Tadanobu Asano
Thor: Ragnarok,Volstagg,,Ray Stevenson
Thor: Ragnarok,Fandral,,Zachary Levi
Runaways,Alex Wilder,,Rhenzy Feliz
Runaways,Nico Minoru,,Lyrica Okano
Runaways,Karolina Dean,,Virginia Gardner
Runaways,Gert Yorkes,,Ariela Barer
Runaways,Chase Stein,,Gregg Sulkin
Runaways,Molly Hernandez,,Allegra Acosta
Runaways,Catherine Wilder,,Angel Parker
Runaways,Geoffrey Wilder,,Ryan Sands
Runaways,Janet Stein,,Ever Carradine
Runaways,Victor Stein,,James Marsters
Runaways,Stacey Yorkes,,Brigid Brannagh
Runaways,Dale Yorkes,,Kevin Weisman
Runaways,Robert Minoru,,James Yaegashi
Runaways,Leslie Dean,,Annie Wersching
Runaways,Tina Minoru,,Brittany Ishibashi
Runaways,Frank Dean,,Kip Pardue
Runaways,Jonah,,Julian McMahon
Runaways,Xavin,,Clarissa Thibeaux
Runaways,Tamar,,Ozioma Akagha
Runaways,Vaughn,,Cody Mayo
Runaways,Darius,,DeVaughn Nixon
Runaways,Frances,,Heather Olt
Runaways,Aura,,Patricia Lentz
Runaways,Morgan le Fay,,Elizabeth Hurley
Runaways,Anthony 'AWOL' Wall,,Myles Bullock
Runaways,Eiffel,,Danielle Campbell
Runaways,Livvie,,Ajiona Alexus
Runaways,Detective Flores,,Alex Fernandez
Runaways,Bronwyn,,Scarlett Hefner
Runaways,Destiny Gonzalez,,Nicole Wolf
Runaways,Amy Minoru,,Amanda Suk
Runaways,Millennial Megan,,Helen Madelyn Kim
Runaways,Susan Ellerh,,Kathleen Quinlan
Runaways,Topher,,Jan Luis Castellanos
Runaways,Graciela Aguirre,,Marlene Forte
Runaways,Mike on a Bike,,Ryan Dorsey
Runaways,Dagger,,Olivia Holt
Runaways,Cloak,,Aubrey Joseph
Ant-Man and the Wasp,Scott Lang,Ant-Man,Paul Rudd
Ant-Man and the Wasp,Hope Van Dyne,Wasp,Evangeline Lilly
Ant-Man and the Wasp,Luis,,Michael Peña
Ant-Man and the Wasp,Sonny Burch,,Walton Goggins
Ant-Man and the Wasp,Paxton,,Bobby Cannavale
Ant-Man and the Wasp,Dave,,T.I.
Ant-Man and the Wasp,Kurt,,David Dastmalchian
Ant-Man and the Wasp,Ava,Ghost,Hannah John-Kamen
Ant-Man and the Wasp,Jimmy Woo,,Randall Park
Ant-Man and the Wasp,Janet Van Dyne,Wasp,Michelle Pfeiffer
Ant-Man and the Wasp,Dr. Bill Foster,,Laurence Fishburne
Ant-Man and the Wasp,Dr. Hank Pym,,Michael Douglas
Avengers: Infinity War,Tony Stark,Iron Man,Robert Downey Jr.
Avengers: Infinity War,Thor,God of Thunder,Chris Hemsworth
Avengers: Infinity War,Bruce Banner,Hulk,Mark Ruffalo
Avengers: Infinity War,Steve Rogers,Captain America,Chris Evans
Avengers: Infinity War,Natasha Romanoff,Black Widow,Scarlett Johansson
Avengers: Infinity War,James Rhodes,War Machine,Don Cheadle
Avengers: Infinity War,Dr. Stephen Strange,Doctor Strange,Benedict Cumberbatch
Avengers: Infinity War,Peter Parker,Spider-Man,Tom Holland
Avengers: Infinity War,T'Challa,Black Panther,Chadwick Boseman
Avengers: Infinity War,Gamora,,Zoe Saldana
Avengers: Infinity War,Nebula,,Karen Gillan
Avengers: Infinity War,Loki,God of mischief,Tom Hiddleston
Avengers: Infinity War,Vision,,Paul Bettany
Avengers: Infinity War,Wanda Maximoff,Scarlet Witch,Elizabeth Olsen
Avengers: Infinity War,Sam Wilson,Falcon,Anthony Mackie
Avengers: Infinity War,Bucky Barnes,Winter Soldier,Sebastian Stan
Avengers: Infinity War,Heimdall,,Idris Elba
Avengers: Infinity War,Okoye,,Danai Gurira
Avengers: Infinity War,Eitri,,Peter Dinklage
Avengers: Infinity War,Wong,,Benedict Wong
Avengers: Infinity War,Mantis,,Pom Klementieff
Avengers: Infinity War,Drax,,Dave Bautista
Avengers: Infinity War,Groot,,Vin Diesel
Avengers: Infinity War,Rocket,,Bradley Cooper
Avengers: Infinity War,Pepper Potts,,Gwyneth Paltrow
Avengers: Infinity War,The Collector,,Benicio Del Toro
Avengers: Infinity War,Thanos,,Josh Brolin
Avengers: Infinity War,Peter Quill,Star-Lord,Chris Pratt
Avengers: Infinity War,On-Set Rocket,,Sean Gunn
Avengers: Infinity War,Secretary Ross,,William Hurt
Avengers: Infinity War,Shuri,,Letitia Wright
Avengers: Infinity War,Cull Obsidian,On-Set Groot,Terry Notary
Avengers: Infinity War,Ebony Maw,,Tom Vaughan-Lawlor
Avengers: Infinity War,Proxima Midnight,,Carrie Coon
Avengers: Infinity War,Corvus Glaive,,Michael James Shaw
Avengers: Infinity War,M'Baku,,Winston Duke
Avengers: Infinity War,Ayo,,Florence Kasumba
Avengers: Infinity War,Friday,,Kerry Condon
Avengers: Infinity War,Ned,,Jacob Batalon
Avengers: Infinity War,Tiny,,Ethan Dizon
Avengers: Infinity War,Johann Schmidt, Red Skull (Stonekeeper),Ross Marquand
Helstrom,Daimon Helstrom,,Tom Austen
Helstrom,Ana Helstrom,,Sydney Lemmon
Helstrom,Victoria Helstrom,,Elizabeth Marvel
Helstrom,Gabriella Rosetti,,Ariana Guerra
Helstrom,Dr. Louise Hastings,,June Carryl
Helstrom,Chris Yen,,Alain Uy
Helstrom,Keith Spivey,,Daniel Cudmore
Helstrom,Father Joshua Crow,,Trevor Roberts
Helstrom,Finn,,David Meunier
Helstrom,Esther,,Deborah Van Valkenburgh
Helstrom,Bryce,,Zachary S. Williams
Helstrom,Officer Derrick Jackson,,Hamza Fouad
Helstrom,Ellis,,Shayn Walker
Helstrom,Jolene Spivey,,Samantha Sloyan
Helstrom,Alex Tilden,,Sandy Robson
Helstrom,Archbishop Terrazi,,Tom Everett
Helstrom,Cameron Tate,,Kyle Warren
Helstrom,Lee,,Tarun Keram
Helstrom,Kthara,,Fiona Dourif
Helstrom,Papa,,Mitch Pileggi
Helstrom,Aubree Richards,,Camille Sullivan
Avengers: Endgame,Tony Stark,Iron Man,Robert Downey Jr.
Avengers: Endgame,Steve Rogers,Captain America,Chris Evans
Avengers: Endgame,Bruce Banner,Hulk,Mark Ruffalo
Avengers: Endgame,Thor,God of Thunder,Chris Hemsworth
Avengers: Endgame,Natasha Romanoff,Black Widow,Scarlett Johansson
Avengers: Endgame,Clint Barton,Hawkeye,Jeremy Renner
Avengers: Endgame,James Rhodes,War Machine,Don Cheadle
Avengers: Endgame,Scott Lang,Ant-Man,Paul Rudd
Avengers: Endgame,Dr. Stephen Strange,Doctor Strange,Benedict Cumberbatch
Avengers: Endgame,T'Challa,Black Panther,Chadwick Boseman
Avengers: Endgame,Carol Danvers,Captain Marvel,Brie Larson
Avengers: Endgame,Peter Parker,Spider-Man,Tom Holland
Avengers: Endgame,Nebula,,Karen Gillan
Avengers: Endgame,Gamora,,Zoe Saldana
Avengers: Endgame,Hope Van Dyne,Wasp,Evangeline Lilly
Avengers: Endgame,Valkyrie,,Tessa Thompson
Avengers: Endgame,Frigga,Queen Frigga,Rene Russo
Avengers: Endgame,Wanda Maximoff,Scarlet Witch,Elizabeth Olsen
Avengers: Endgame,Sam Wilson,Falcon,Anthony Mackie
Avengers: Endgame,Bucky Barnes,Winter Soldier,Sebastian Stan
Avengers: Endgame,Loki,God of mischief,Tom Hiddleston
Avengers: Endgame,Okoye,,Danai Gurira
Avengers: Endgame,Wong,,Benedict Wong
Avengers: Endgame,Mantis,,Pom Klementieff
Avengers: Endgame,Drax,,Dave Bautista
Avengers: Endgame,Shuri,,Letitia Wright
Avengers: Endgame,Howard Stark,,John Slattery
Avengers: Endgame,The Ancient One,,Tilda Swinton
Avengers: Endgame,Happy Hogan,,Jon Favreau
Avengers: Endgame,Peggy Carter,,Hayley Atwell
Avengers: Endgame,Jane Foster,,Natalie Portman
Avengers: Endgame,Aunt May,,Marisa Tomei
Avengers: Endgame,Korg,,Taika Waititi
Avengers: Endgame,Ramonada,,Angela Bassett
Avengers: Endgame,Hank Pym,,Michael Douglas
Avengers: Endgame,Janet Van Dyne,Wasp,Michelle Pfeiffer
Avengers: Endgame,Secretary Ross,,William Hurt
Avengers: Endgame,Maria Hill,,Cobie Smulders
Avengers: Endgame,On-Set Rocket,Kraglin,Sean Gunn
Avengers: Endgame,M'Baku,,Winston Duke
Avengers: Endgame,Laura Barton,,Linda Cardellini
Avengers: Endgame,Agent Sitwell,,Maximiliano Hernández
Avengers: Endgame,Brock Rumlow,,Frank Grillo
Avengers: Endgame,Akihiko,,Hiroyuki Sanada
Avengers: Endgame,Ebony Maw,,Tom Vaughan-Lawlor
Avengers: Endgame,Jarvis,,James D'Arcy
Avengers: Endgame,Ned,,Jacob Batalon
Avengers: Endgame,Groot,,Vin Diesel
Avengers: Endgame,Rocket,,Bradley Cooper
Avengers: Endgame,Pepper Potts,,Gwyneth Paltrow
Avengers: Endgame,Alexander Pierce,,Robert Redford
Avengers: Endgame,Thanos,,Josh Brolin
Avengers: Endgame,Peter Quill,Star-Lord,Chris Pratt
Avengers: Endgame,Nick Fury,Director Fury,Samuel L. Jackson
Avengers: Endgame,Morgan Stark,,Lexi Rabe
Avengers: Endgame,Johann Schmidt, Red Skull (Stonekeeper),Ross Marquand
Avengers: Endgame,Cassie Lang,,Emma Fuhrmann
Avengers: Endgame,Corvus Glaive,,Michael James Shaw
Avengers: Endgame,Friday,,Kerry Condon
Avengers: Endgame,Cooper Barton,,Ben Sakamoto
Avengers: Endgame,Lila Barton,,Ava Russo
Avengers: Endgame,Nathaniel Barton,,Cade Woodward
Loki,Loki,God of Mischief,Tom Hiddleston
Loki,Casey,,Eugene Cordero
Loki,Ravonna Renslayer,,Gugu Mbatha-Raw
Loki,Sylvie,,Sophia Di Martino
Loki,Mobius,,Owen Wilson
Loki,Hunter B-15,,Wunmi Mosaku
Loki,Miss Minutes,,Tara Strong
Loki,He Who Remains,,Jonathan Majors
What If...?,Uatu,The Watcher,Jeffrey Wright
What If...?,Nick Fury,Director Fury,Samuel L. Jackson
What If...?,T'Challa,Black Panther,Chadwick Boseman
What If...?,Tony stark,Iron Man,Mick Wingert
What If...?,Natasha Romanoff,Black Widow,Lake Bell
What If...?,Clint Barton,Hawkeye,Jeremy Renner
What If...?,Dr. Stephen Strange,Doctor Strange,Benedict Cumberbatch
What If...?,Brock Rumlow,Crossbones,Frank Grillo
What If...?,Steve Rogers,Captain America,Josh Keaton
What If...?,Okoye,,Danai Gurira
What If...?,Ultron,,Ross Marquand
What If...?,Loki,God of mischief,Tom Hiddleston
What If...?,Arnim Zola,,Toby Jones
What If...?,Carol Denvers,Captain Marvel,Alexandra Daniels
What If...?,Peggy Carter,,Hayley Atwell
What If...?,Happy Hogan,,Jon Favreau
What If...?,Bruce Banner,Hulk,Mark Ruffalo
What If...?,Erik Killmonger,Killmonger,Michael B. Jordan
What If...?,JARVIS,,Paul Bettany
What If...?,Nebula,,Karen Gillan
What If...?,God of Thunder,Hammer,Chris Hemsworth
What If...?,Agent Coulson,Phil Coulson,Clark Gregg
What If...?,Bucky Barnes,Winter soldier,Sebastian Stan
What If...?,Christine Everhart,Ms. Brown,Leslie Bibb
What If...?,T'Chaka,,John Kani
What If...?,Sif,Lady Sif,Jaimie Alexander
What If...?,Howard the Duck,,Seth Green
What If...?,Ego,,Kurt Russell
What If...?,Secretary Ross,,Michael Patrick McGill
What If...?,Peter Quill,,Brian T. Delaney
What If...?,Shuri,,Ozioma Akagha
What If...?,Ebony Maw,,Tom Vaughan-Lawlor
What If...?,Jane Foster,,Natalie Portman
What If...?,Dr. Christine Palmer,,Rachel McAdams
What If...?,Hank Pym,,Michael Douglas
What If...?,Yondu,,Michael Rooker
What If...?,Wong,,Benedict Wong
What If...?,Queen Ramonada,,Angela Bassett
What If...?,Darcy,,Kat Dennings
What If...?,The Ancient One,,Tilda Swinton
What If...?,Korath,,Djimon Hounsou
What If...?,Hope Van Dyne,Wasp,Evangeline Lilly
What If...?,Dr. Erskine,,Stanley Tucci
What If...?,Batroc,,Georges St-Pierre
What If...?,O'Bengh,,Ike Amadi
What If...?,Scott Lang,Ant-Man,Paul Rudd
What If...?,Ulysses Klaue,,Andy Serkis
What If...?,Grandmaster,,Jeff Goldblum
What If...?,Thanos,,Josh Brolin
What If...?,Howard Stark,,Dominic Cooper
What If...?,Maria Hill,,Cobie Smulders
What If...?,Colonel Flynn,,Bradley Whitford
What If...?,James Rhodes,,Don Cheadle
What If...?,The Collector,,Benicio Del Toro
What If...?,Betty Ross,,Stephanie Panisello
What If...?,Timothy 'Dum Dum' Dugan,,Neal McDonough
What If...?,Sharon Carter,,Emily VanCamp
What If...?,Kraglin,,Sean Gunn
What If...?,Gamora,,Cynthia Kaye McWilliams
What If...?,Korg,,Taika Waititi
What If...?,Kurt,,David Dastmalchian
What If...?,Taserface,,Chris Sullivan
What If...?,Peter Parker,Spider man,Hudson Thames
What If...?,Obadiah Stane,Iron monger/Obi,Kiff VandenHeuvel
What If...?,Pepper Potts,,Beth Hoyt
What If...?,Proxima Midnight,,Carrie Coon
What If...?,Frigga,Queen Frigga,Josette Eales
What If...?,Surtur,,Clancy Brown
Eternals,Sersi,,Gemma Chan
Eternals,Ikaris,,Richard Madden
Eternals,Thena,,Angelina Jolie
Eternals,Ajak,,Salma Hayek
Eternals,Dane Whitman,,Kit Harington
Eternals,Kingo,,Kumail Nanjiani
Eternals,Sprite,,Lia McHugh
Eternals,Phastos,,Brian Tyree Henry
Eternals,Makkari,,Lauren Ridloff
Eternals,Druig,,Barry Keoghan
Eternals,Gilgamesh,,Ma Dong-seok
Eternals,Karun,,Harish Patel
Eternals,Kro,,Bill Skarsgård
Eternals,Ben,,Haaz Sleiman
Eternals,Jack,,Esai Daniel Cross
Eternals,Eros,,Harry Styles
Eternals,Arishem,,David Kaye
WandaVision,Wanda Maximoff,Scarlett Witch,Elizabeth Olsen
WandaVision,Vision,,Paul Bettany
WandaVision,Agnes,,Kathryn Hahn
WandaVision,Monica Rambeau,,Teyonah Parris
WandaVision,Director Tyler Hayward,,Josh Stamberg
WandaVision,Herb,,David A Payton
WandaVision,Phil Jones,,David Lengel
WandaVision,Dennis the Mailman,,Amos Glick
WandaVision,Agent Rodriguez,,Selena Anduze
WandaVision,Jimmy Woo,,Randall Park
WandaVision,Darcy Lewis,,Kat Dennings
WandaVision,Mrs. Hart,,Debra Jo Rupp
WandaVision,Billy Maximoff,,Julian Hilliard
WandaVision,Tommy Maximoff,,Jett Klyne
WandaVision,Norm,,Asif Ali
WandaVision,Pietro Maximoff,,Evan Peters
WandaVision,Dottie Jones,,Emma Caulfield Ford
WandaVision,Agent Monti,,Alan Heckner
WandaVision,Beverly,,Jolene Purdy
Shang-Chi and the Legend of the Ten Rings,Shaun,Shang-Chi,Simu Liu
Shang-Chi and the Legend of the Ten Rings,Xu Wenwu,,Tony Chiu-Wai Leung
Shang-Chi and the Legend of the Ten Rings,Katy,,Awkwafina
Shang-Chi and the Legend of the Ten Rings,Trevor Slattery,,Ben Kingsley
Shang-Chi and the Legend of the Ten Rings,Xialing,,Meng'er Zhang
Shang-Chi and the Legend of the Ten Rings,Li,,Fala Chen
Shang-Chi and the Legend of the Ten Rings,Ying Nan,,Michelle Yeoh
Shang-Chi and the Legend of the Ten Rings,Master Guang Bo,,Wah Yuen
Shang-Chi and the Legend of the Ten Rings,Razor Fist,,Florian Munteanu
Shang-Chi and the Legend of the Ten Rings,Death Dealer,,Andy Le
Shang-Chi and the Legend of the Ten Rings,Chancellor Hui,,Paul W. He
Shang-Chi and the Legend of the Ten Rings,Young Xialing,,Elodie Fong
Shang-Chi and the Legend of the Ten Rings,Soo,,Stephanie Hsu
Shang-Chi and the Legend of the Ten Rings,John,,Kunal Dudheker
Shang-Chi and the Legend of the Ten Rings,Waipo,,Tsai Chin
Shang-Chi and the Legend of the Ten Rings,Mrs. Chen,,Jodi Long
Shang-Chi and the Legend of the Ten Rings,Ruihua,,Dallas Liu
Shang-Chi and the Legend of the Ten Rings,Jon Jon,,Ronny Chieng
Shang-Chi and the Legend of the Ten Rings,Yuchen,,Stella Ye
Shang-Chi and the Legend of the Ten Rings,Gao Lei,,Fernando Chien
Shang-Chi and the Legend of the Ten Rings,Klev,,Zach Cherry
The Falcon and the Winter Soldier,Sam Wilson,Falcon,Anthony Mackie
The Falcon and the Winter Soldier,Bucky Barnes,Winter Soldier,Sebastian Stan
The Falcon and the Winter Soldier,John Walker,,Wyatt Russell
The Falcon and the Winter Soldier,Karli Morgenthau,,Erin Kellyman
The Falcon and the Winter Soldier,Dovich,,Desmond Chiam
The Falcon and the Winter Soldier,Gigi,,Dani Deetté
The Falcon and the Winter Soldier,DeeDee,,Indya Bussey
The Falcon and the Winter Soldier,Baron Zemo,,Daniel Brühl
The Falcon and the Winter Soldier,Joaquin Torres,,Danny Ramirez
The Falcon and the Winter Soldier,Sarah Wilson,,Adepero Oduye
The Falcon and the Winter Soldier,Lennox,,Renes Rivera
The Falcon and the Winter Soldier,Diego,,Tyler Dean Flores
The Falcon and the Winter Soldier,Sharon Carter,,Emily VanCamp
The Falcon and the Winter Soldier,Battlestar,,Clé Bennett
The Falcon and the Winter Soldier,Nico,,Noah Mills
The Falcon and the Winter Soldier,Ayo,,Florence Kasumba
The Falcon and the Winter Soldier,Isaiah Bradley,,Carl Lumbly
The Falcon and the Winter Soldier,Georges Batroc,,Georges St-Pierre
The Falcon and the Winter Soldier,Dr. Christina Raynor,,Amy Aquino
The Falcon and the Winter Soldier,Cass,,Chase River McGhee
The Falcon and the Winter Soldier,AJ,,Aaron Haynes
The Falcon and the Winter Soldier,Eli Bradley,,Elijah Richardson
The Falcon and the Winter Soldier,Olivia Walker,,Gabrielle Byndloss
The Falcon and the Winter Soldier,Valentina Allegra de Fontaine,,Julia Louis-Dreyfus
The Falcon and the Winter Soldier,Mama Donya,,Veronica Falcón
The Falcon and the Winter Soldier,Senator Atwood,,Rebecca Lines
The Falcon and the Winter Soldier,James Rhodes,War Machine,Don Cheadle
The Falcon and the Winter Soldier,Matias,,Ness Bautista
The Falcon and the Winter Soldier,Unique,,Ian Gregg
The Falcon and the Winter Soldier,Alonso Barber,,Mike Ray
The Falcon and the Winter Soldier,Sara Haines,,Sara Haines
Thor: Love and Thunder,Thor,God of Thunder,Chris Hemsworth
Thor: Love and Thunder,Jane Foster,The Mighty Thor,Natalie Portman
Thor: Love and Thunder,Gorr,The God Buthcher,Christian Bale
Thor: Love and Thunder,King Valkyrie,,Tessa Thompson
Thor: Love and Thunder,Korg,Old Kronan God,Taika Waititi
Thor: Love and Thunder,Zeus,,Russell Crowe
Thor: Love and Thunder,Sif,Lady Sif,Jaimie Alexander
Thor: Love and Thunder,Heimdall,,Idris Elba
Thor: Love and Thunder,Peter Quill,Star-Lord,Chris Pratt
Thor: Love and Thunder,Drax,,Dave Bautista
Thor: Love and Thunder,Nebula,,Karen Gillan
Thor: Love and Thunder,Mantis,,Pom Klementieff
Thor: Love and Thunder,Kraglin,On-Set Rocket,Sean Gunn
Thor: Love and Thunder,Groot,,Vin Diesel
Thor: Love and Thunder,Rocket,,Bradley Cooper
Thor: Love and Thunder,Miek,,Carly Rees
Thor: Love and Thunder,Darcy Lewis,,Kat Dennings
Thor: Love and Thunder,Asgardian Stagehand,,Suren Jayemanne
Thor: Love and Thunder,Asgardian Stagehand,,Natasha Cheng
Thor: Love and Thunder,Hercules,,Brett Goldstein
Thor: Love and Thunder,King Yakan,,Stephen Curry
Thor: Love and Thunder,Erik Selvig,,Stellan Skarsgård
Thor: Love and Thunder,Habooska the Horrible,,Bobby Holland Hanton
Peter's To-Do List,Peter Parker,Spider-Man,Tom Holland
Peter's To-Do List,Ned,,Jacob Batalon
Peter's To-Do List,Mr. Delmar,,Hemky Madera
Peter's To-Do List,Flash Thompson,,Tony Revolori
Spider-Man: Far from Home,Peter Parker,Spider-Man,Tom Holland
Spider-Man: Far from Home,Nick Fury,Director Fury,Samuel L. Jackson
Spider-Man: Far from Home,Quentin Beck,Mysterio,Jake Gyllenhaal
Spider-Man: Far from Home,May Parker,Aunt May,Marisa Tomei
Spider-Man: Far from Home,Happy Hogan,,Jon Favreau
Spider-Man: Far from Home,MJ,,Zendaya
Spider-Man: Far from Home,Ned Leeds,,Jacob Batalon
Spider-Man: Far from Home,Flash Thompson,,Tony Revolori
Spider-Man: Far from Home,Betty Brant,,Angourie Rice
Spider-Man: Far from Home,Brad Davis,,Remy Hii
Spider-Man: Far from Home,Mr. Harrington,,Martin Starr
Spider-Man: Far from Home,Mr. Dell,,J.B. Smoove
Spider-Man: Far from Home,Jason Ionello,,Jorge Lendeborg Jr.
Spider-Man: Far from Home,Maria Hill,,Cobie Smulders
Spider-Man: Far from Home,William Ginter Riva,,Peter Billingsley
Spider-Man: Far from Home,Victoria,,Clare Dunne
Spider-Man: Far from Home,Guterman,,Nicholas Gleaves
Spider-Man: Far from Home,Janice,,Claire Rushbrook
Spider-Man: Far from Home,J. Jonah Jameson,,J.K. Simmons
Spider-Man: Far from Home,E.D.I.T.H.,,Dawn Michelle King
Spider-Man: No Way Home,Peter Parker,Spider-Man,Tom Holland
Spider-Man: No Way Home,MJ,,Zendaya
Spider-Man: No Way Home,Dr. Stephen Strange,Doctor Strange,Benedict Cumberbatch
Spider-Man: No Way Home,Ned,,Jacob Batalon
Spider-Man: No Way Home,Happy Hogan,,Jon Favreau
Spider-Man: No Way Home,Max Dillon,Electro,Jamie Foxx
Spider-Man: No Way Home,Norman Osborn,Green Goblin,Willem Dafoe
Spider-Man: No Way Home,Dr. Otto Octavius,Doc Ock,Alfred Molina
Spider-Man: No Way Home,Wong,,Benedict Wong
Spider-Man: No Way Home,Flash Thompson,,Tony Revolori
Spider-Man: No Way Home,May Parker,,Marisa Tomei
Spider-Man: No Way Home,Peter Parker2,Spider-Man,Andrew Garfield
Spider-Man: No Way Home,Peter Parker3,Spider-Man,Tobey Maguire
Spider-Man: No Way Home,Betty Brant,,Angourie Rice
Spider-Man: No Way Home,Agent Cleary,,Arian Moayed
Spider-Man: No Way Home,MIT Assistant Vice Chancellor,,Paula Newsome
Spider-Man: No Way Home,Coach Wilson,,Hannibal Buress
Spider-Man: No Way Home,Mr. Harrington,,Martin Starr
Spider-Man: No Way Home,Mr. Dell,,J.B. Smoove
Spider-Man: No Way Home,J. Jonah Jameson,,J.K. Simmons
Spider-Man: No Way Home,Dr. Curt Connors,The Lizard,Rhys Ifans
Spider-Man: No Way Home,Matt Murdock,Daredevil,Charlie Cox
Spider-Man: No Way Home,Flint Marko,Sandman,Thomas Haden Church
Doctor Strange in the Multiverse of Madness,Dr. Stephen Strange,Doctor strange,Benedict Cumberbatch
Doctor Strange in the Multiverse of Madness,Wanda Maximoff,The Scarlet Witch,Elizabeth Olsen
Doctor Strange in the Multiverse of Madness,Baron Mordo,,Chiwetel Ejiofor
Doctor Strange in the Multiverse of Madness,Wong,,Benedict Wong
Doctor Strange in the Multiverse of Madness,America Chavez,,Xochitl Gomez
Doctor Strange in the Multiverse of Madness,Dr. Christine Palmer,,Rachel McAdams
Doctor Strange in the Multiverse of Madness,Tommy Maximoff,,Jett Klyne
Doctor Strange in the Multiverse of Madness,Billy Maximoff,,Julian Hilliard
Doctor Strange in the Multiverse of Madness,Dr. Nic West,,Michael Stuhlbarg
Doctor Strange in the Multiverse of Madness,Peggy Carter-AR,Agent Carter,Hayley Atwell
Doctor Strange in the Multiverse of Madness,Black Bolt,,Anson Mount
Doctor Strange in the Multiverse of Madness,Carol Denvers,Captain Marvel,Lashana Lynch
Doctor Strange in the Multiverse of Madness,Reed Richards,,John Krasinski
Doctor Strange in the Multiverse of Madness,Professor Charles Xavier,,Patrick Stewart
Doctor Strange in the Multiverse of Madness,Ultron,,Ross Marquand
Doctor Strange in the Multiverse of Madness,Master Hamir,,Topo Wresniwiro
Doctor Strange in the Multiverse of Madness,The Weasel,,Charlie Norton
Doctor Strange in the Multiverse of Madness,Elena Chavez,,Ruth Livier
Doctor Strange in the Multiverse of Madness,Amalia Chavez,,Chess Lopez
Hawkeye,Clint Barton,Hawkeye,Jeremy Renner
Hawkeye,Kate Bishop,,Hailee Steinfeld
Hawkeye,Eleanor Bishop,,Vera Farmiga
Hawkeye,Jack Duquesne,,Tony Dalton
Hawkeye,Kazi,,Fra Fee
Hawkeye,Ivan,,Aleks Paunovic
Hawkeye,Tomas,,Piotr Adamczyk
Hawkeye,Maya Lopez,,Alaqua Cox
Hawkeye,Laura Barton,,Linda Cardellini
Hawkeye,Nathaniel Barton,,Cade Woodward
Hawkeye,Enrique,,Carlos Navarro
Hawkeye,Lila Barton,,Ava Russo
Hawkeye,Cooper Barton,,Ben Sakamoto
Hawkeye,Grills,,Clayton English
Hawkeye,Yelena Boleva,,Florence Pugh
